[02-Mar-2024 19:54:51 UTC] PHP Warning:  file_get_contents(/Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/ocean-extra/ocean-extra.php): Failed to open stream: No such file or directory in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/functions.php on line 6805
[04-Mar-2024 01:08:02 UTC] PHP Warning:  file_get_contents(/Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/ocean-extra/ocean-extra.php): Failed to open stream: No such file or directory in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/functions.php on line 6805
[04-Mar-2024 01:26:53 UTC] PHP Warning:  file_get_contents(/Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/ocean-extra/ocean-extra.php): Failed to open stream: No such file or directory in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/functions.php on line 6805
[04-Mar-2024 16:25:22 UTC] PHP Warning:  Undefined variable $qsid in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 958
[04-Mar-2024 16:25:22 UTC] PHP Warning:  Undefined variable $qsid in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 960
[04-Mar-2024 16:25:22 UTC] PHP Warning:  Undefined variable $qsid in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 967
[04-Mar-2024 16:25:22 UTC] PHP Warning:  Undefined variable $qsid in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 968
[04-Mar-2024 16:25:22 UTC] PHP Warning:  Undefined variable $qsid in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/plugins/child-theme-configurator/includes/classes/CSS.php on line 971
[23-Mar-2024 21:04:47 UTC] PHP Parse error:  syntax error, unexpected identifier "do_action", expecting ")" in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/themes/blankslate-child/header.php on line 19
[23-Mar-2024 21:05:23 UTC] PHP Parse error:  syntax error, unexpected identifier "do_action", expecting ")" in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/themes/blankslate-child/header.php on line 19
[23-Mar-2024 21:05:24 UTC] PHP Parse error:  syntax error, unexpected identifier "do_action", expecting ")" in /Users/milliandvalentin/Local Sites/planty/app/public/wp-content/themes/blankslate-child/header.php on line 19
[28-Mar-2024 23:42:51 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/update.php on line 449
[28-Mar-2024 23:42:51 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/update.php on line 730
[28-Mar-2024 23:42:51 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/milliandvalentin/Local Sites/planty/app/public/wp-admin/includes/update.php on line 154
[29-Mar-2024 18:48:19 UTC] PHP Warning:  An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href="https://wordpress.org/support/forums/">support forums</a>. (WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.) in /Users/milliandvalentin/Local Sites/planty/app/public/wp-includes/update.php on line 449
